,Iteration,Time,Perturbation,Step,NRMSE
0,1,0,2.0,50.11872336272723,0.258989576666783
1,2,0,1.8660659830736148,48.70596972258286,0.20551875835157676
2,3,1,1.7919169196815246,47.45102806263551,0.16323352275603564
3,4,1,1.7411011265922482,46.325167075036724,0.14039834200350565
4,5,1,1.7026798450415692,45.30661222656876,0.12765855713773597
5,6,2,1.6719176041558739,44.3785003431675,0.11607933814047945
6,7,2,1.6463425079860885,43.52752816480621,0.10448188719465533
7,8,2,1.624504792712471,42.743031778825944,0.094108189558344
8,9,3,1.6054831235204612,42.01634287291895,0.08454395427957209
9,10,3,1.588656469448563,41.340328157583215,0.078584358879964
10,11,3,1.5735868843935443,40.70905315369044,0.0721303401620312
11,12,4,1.5599542838086067,40.11753235797363,0.06732535559563875
12,13,4,1.5475178261222038,39.56154062402218,0.06315434138998227
13,14,4,1.5360918753204704,39.03746871536587,0.0591737868879086
14,15,5,1.5255304115653519,38.54221125344267,0.0562556670292382
15,16,5,1.5157165665103982,38.07307877431757,0.05526960293733066
16,17,6,1.5065553898500779,37.627727968301556,0.05473450418353446
17,18,6,1.4979687216001536,37.20410580113015,0.05731073372807321
18,19,6,1.4898914763543742,36.80040435181319,0.049063425410767934
19,20,7,1.4822688982138954,36.415024009228404,0.047104835575578284
20,21,7,1.4750544978255937,36.04654325043383,0.04968843500272063
21,22,7,1.468208478188793,35.693693647162874,0.05026189522759124
22,23,8,1.4616965168518654,35.35533905932738,0.05397323819814448
23,24,8,1.4554888120826022,35.03045820726322,0.045599681734659114
24,25,8,1.449559327355391,34.7181299898821,0.044811566552433395
25,26,9,1.4438851867633367,34.41752104927813,0.04500806660523604
26,27,9,1.4384461866497287,34.12787518465366,0.05056213040601501
27,28,9,1.4332243977056431,33.84850429756255,0.04159729399638129
28,29,10,1.4282038381904345,33.578780612150126,0.04022365616537104
29,30,10,1.4233702035831974,33.31812996249907,0.04801813513983251
30,31,10,1.4187106413902928,33.066025977478425,0.03883732771311833
31,32,11,1.414213562373095,32.821985023960345,0.04340766837271165
32,33,11,1.4098684813668636,32.5855617936629,0.050796492501750994
33,34,11,1.4056658823077195,32.356345438522354,0.0843994767835595
34,35,12,1.4015971031915508,32.133956175406574,0.0691342190647758
35,36,12,1.3976542375431584,31.91804229393149,0.05026894328986833
36,37,12,1.393830049638967,31.708277511737506,0.045409838030963684
37,38,13,1.3901179012481124,31.504358630292135,0.043503049790339476
38,39,13,1.386511688068574,31.306003451477075,0.041979548564843934
39,40,14,1.3830057843624783,31.11294892118257,0.040861888574078145
40,41,14,1.3795949945567294,30.924949471099172,0.03992964154537428
41,42,14,1.3762745107860368,30.74177553405018,0.03936926447944358
42,43,15,1.3730398755261626,30.563212211693486,0.038946312011458206
43,44,15,1.3698869486041931,30.3890580763577,0.03856355678100072
44,45,15,1.3668118779863367,30.219124091258887,0.03811812817977079
45,46,16,1.3638110738372273,30.053232635449135,0.03707846797700367
46,47,16,1.3608811854219165,29.8912166216387,0.03649313316552613
47,48,16,1.3580190804857843,29.73291869656199,0.035849788053613135
48,49,17,1.3552218268009617,29.57819051486562,0.03555828561397913
49,50,17,1.352486675612483,29.42689207862015,0.03508629743856812
50,51,17,1.349811046754875,29.278891135523562,0.03846561256490962
51,52,18,1.3471925152414779,29.13406262969929,0.04627834518577914
52,53,18,1.3446287991555015,28.992288199713386,0.05497244617477483
53,54,19,1.3421177486945093,28.853455719062136,0.044969760638772345
54,55,19,1.339657336239323,28.717458874925875,0.03949812110790402
55,56,19,1.3372456473348353,28.584196781459717,0.03916589857602697
56,57,20,1.3348808724843444,28.45357362430651,0.03754734181194109
57,58,20,1.3325612996711713,28.325498333380562,0.03810916959281026
58,59,20,1.3302853075317693,28.199884281289027,0.0367657218516045
59,60,21,1.3280513591135854,28.076649005038064,0.03729543317918424
60,61,21,1.3258579961587516,27.95571394891734,0.036117527165606685
61,62,21,1.3237038338614875,27.83700422667422,0.03710061225777688
62,63,22,1.3215875560530077,27.720448401281438,0.03647058471069068
63,64,22,1.3195079107728942,27.605978280772373,0.039604561315807946
64,65,22,1.31746370619041,27.49352872876952,0.036405927679741545
65,66,23,1.3154538068431803,27.383037488465916,0.039167709177985
66,67,23,1.313477130164153,27.27444501893924,0.036896084149607364
67,68,23,1.3115326432707972,27.16769434278468,0.03987148658086437
68,69,24,1.309619359993204,27.06273090414836,0.03834723900448794
69,70,24,1.307736338120136,26.95950243632805,0.039291899235869815
70,71,25,1.305882676844174,26.857958838184388,0.035653876577616476
71,72,25,1.304057514388989,26.75805205867436,0.03621450583820037
72,73,25,1.3022600258034227,26.659735988880268,0.0393890220980135
73,74,26,1.300489420908542,26.562966360962836,0.048199674760255974
74,75,26,1.2987449423851474,26.467700653516886,0.046082308399393396
75,76,26,1.2970258639903947,26.3738980028531,0.039895697023110764
76,77,27,1.2953314888932417,26.281519119769932,0.03726883359233742
77,78,27,1.2936611481193703,26.190526211416458,0.03644011847772103
78,79,27,1.292014199097084,26.10088290788024,0.035843764382704126
79,80,28,1.290390024296432,26.012554193164423,0.03526212829960208
80,81,28,1.2887880299545085,25.925506340245526,0.03477668920005297
81,82,28,1.2872076448804708,25.839706849928415,0.03412109760841066
82,83,29,1.2856483193343917,25.755124393237324,0.03369660005127047
83,84,29,1.284109523974552,25.671728757102542,0.034064919392447046
84,85,29,1.2825907488682358,25.58949079312104,0.038897130872121884
85,86,30,1.281091502561501,25.50838236918635,0.05135113165744715
86,87,30,1.2796113112037668,25.428376323798837,0.0533132480991455
